Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Mooli bhujia,,,91.2,1.69,7.25,,2.36,4.74,Indian Dishes,1.07,89.73,131.88,2.37,80.77,75.87
Bathua bhujia,,,90.9,2.26,7.29,,3.8,3.63,Indian Dishes,1.08,81.99,165.84,2.36,66.6,71.68
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),,,142.48,8.21,9.36,,1.84,6.09,Indian Dishes,1.26,118.05,31.54,0.98,12.69,19.01
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),,,124.63,5.76,8.17,,2.35,7.03,Indian Dishes,3.81,123.98,29.82,0.95,26.91,34.04
Dry arbi (Sookhi arbi),,,134.95,2.12,8.97,,2.47,11.11,Indian Dishes,1.55,81.25,22.77,0.68,8.11,32.76
Masala arbi,,,185.38,3.01,11.9,,3.1,16.16,Indian Dishes,0.81,261.31,32.08,0.99,1.9,20.12
Peas brinjal bhartha (Matar baingan bhartha),,,84.55,2.05,6.05,,3.63,5.02,Indian Dishes,1.57,63.65,19.63,0.63,27.86,82.49
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),,,110.81,1.83,9.27,,3.57,4.5,Indian Dishes,1.42,92.78,67.88,0.88,29.07,85.27
Crispy okra/Crispy lady's fingers (Karare bhindi),,,657.76,1.91,70.4,,1.75,4.35,Indian Dishes,0.26,40.42,27.61,0.56,18.14,90.04
Beans foogath,,,105.06,2.03,9.22,,4.15,3.26,Indian Dishes,1.7,81.22,44.2,0.95,6.36,86.05
Stuffed bittergourd (wet) (Bharwa karele),,,162.36,1.36,15.24,,2.86,4.68,Indian Dishes,1.95,360.09,17.25,0.91,46.93,63.07
Jackfruit/Kathal (dry),,,488.97,0.93,51.78,,1.33,4.56,Indian Dishes,3.55,33.68,12.79,0.33,21.72,55.34
Yam fried (Zimikand/Suran fried),,,491.76,0.79,51.79,,1.44,5.47,Indian Dishes,0.8,37.07,8.11,0.43,30.3,35.57
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",,,95.67,2.75,5.54,,3.26,8.23,Indian Dishes,1.47,86.29,21.05,0.98,53.51,60.04
Vegetable jalfrezi,,,68.48,1.4,4.38,,2.97,5.43,Indian Dishes,1.79,79.46,27.11,0.68,26.08,28.48
Vegetables stir fry ,,,30.78,1.04,1.47,,1.37,3.19,Indian Dishes,0.86,55.0,13.3,0.34,38.17,61.93
Broccoli delight,,,40.7,2.49,2.48,,2.83,2.34,Indian Dishes,1.08,59.26,26.99,0.71,79.0,97.64
Dhansak (vegetarian),,,82.8,3.32,4.18,,4.17,7.28,Indian Dishes,0.91,34.18,26.4,1.26,13.25,45.12
Cauliflower basket,,,90.95,5.21,5.88,,2.4,3.97,Indian Dishes,1.47,194.22,100.19,0.92,71.55,88.46
Stuffed bottle gourd (Stuffed ghiya/lauki),,,93.19,5.84,5.8,,1.18,4.36,Indian Dishes,1.52,106.99,71.83,0.66,9.01,92.91
Ducheese potato,,,140.54,3.6,9.01,,1.29,10.94,Indian Dishes,0.29,103.85,18.1,0.76,7.23,8.71
Roast potatoes ,,,87.32,1.53,2.35,,1.71,14.52,Indian Dishes,0.33,90.67,10.38,0.57,17.36,11.66
Stuffed baked potatoes ,,,100.2,3.82,4.39,,1.31,11.03,Indian Dishes,0.4,92.09,25.72,0.81,18.77,23.25
Potato nests,,,111.62,5.71,4.77,,2.49,11.05,Indian Dishes,1.41,182.12,55.25,0.87,37.47,49.55
Parsley potato,,,119.51,1.49,6.28,,1.59,13.81,Indian Dishes,0.34,4.62,11.43,0.55,23.82,16.5
Creamed spinach and mushroom,,,419.62,2.28,44.14,,1.02,3.17,Indian Dishes,1.17,90.21,65.49,0.9,48.37,234.02
Fricassee of Mushroom,,,106.66,3.65,6.63,,1.23,8.13,Indian Dishes,2.51,118.98,84.97,0.36,39.68,37.46
